2026-01-13 18:29:04.034 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 18:29:04.034 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 18:29:04.035 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 18:29:04.035 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 18:53:26.066 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 18:53:26.068 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 18:53:26.068 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 18:53:26.068 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 19:03:46.340 | INFO     | __main__:<module>:1041 - 
正在关闭应用...
2026-01-13 19:03:46.340 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 19:03:46.400 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 19:03:46.400 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 19:03:46.402 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 19:03:46.403 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 19:03:46.403 | INFO     | ForumEngine.monitor:stop_monitoring:727 - ForumEngine: 论坛未运行
2026-01-13 19:03:46.403 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 19:06:31.884 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
